# LCSH data (09-09-2009)		
# Identifier	NameType	NameString
huc	sn	!Xo?
huc	sn	!Xo? language
abx	sn	Abaknon
abx	sn	Abaknon language
aau	sn	Abau
aau	sn	Abau language
abq	sn	Abazin
abq	sn	Abazin language
any	sn	Abe
any	sn	Abe language
aaq	sn	Abenaki
abe	sn	Abenaki
aaq	sn	Abenaki language
abe	sn	Abenaki language
abi	sn	Abidji
abi	sn	Abidji language
axb	sn	Abipon
axb	sn	Abipon language
abk	sn	Abkhaz
abk	sn	Abkhaz language
ccn	sn	Abkhazo-Adyghian languages
abb	sn	Abo
abb	sn	Abo (Cameroon)
abb	sn	Abo language (Cameroon)
adi	sn	Abor
adi	sn	Abor language
abr	sn	Abron
abr	sn	Abron language
abn	sn	Abua
abn	sn	Abua language
abz	sn	Abui
abz	sn	Abui language
mrr	sn	Abujhmaria
mrr	sn	Abujhmaria dialect
abt	sn	Abulas
abt	sn	Abulas language
kgr	sn	Abun
kgr	sn	Abun language
abl	sn	Abung
abl	sn	Abung dialect
abu	sn	Abure
abu	sn	Abure language
ake	sn	Acawai
ake	sn	Acawai language
aca	sn	Achagua
aca	sn	Achagua language
acn	sn	Achang
acn	sn	Achang language
acr	sn	Achi
acr	sn	Achi language
ace	sn	Achinese
ace	sn	Achinese language
acv	sn	Achomawi
acv	sn	Achomawi language
acu	sn	Achuar
acu	sn	Achuar language
ach	sn	Acoli
ach	sn	Acoli language
kjq	sn	Acoma
kjq	sn	Acoma dialect
ada	sn	Adangme
ada	sn	Adangme language
gas	sn	Adiwasi Garasia
gas	sn	Adiwasi Garasia language
ort	sn	Adiwasi Oriya
ort	sn	Adiwasi Oriya language
adt	sn	Adnyamathanha
adt	sn	Adnyamathanha language
dma	sn	Aduma
dma	sn	Aduma language
ady	sn	Adygei
ady	sn	Adygei language
adj	sn	Adyukru
adj	sn	Adyukru language
kat	sn	Adzhar
kat	sn	Adzhar dialect
awi	sn	Aekyom
awi	sn	Aekyom language
grc	sn	Aeolic Greek
grc	sn	Aeolic Greek dialect
aal	sn	Afade
aal	sn	Afade dialect
aar	sn	Afar
aar	sn	Afar language
afh	sn	Afrihili
afh	sn	Afrihili (Artificial language)
afr	sn	Afrikaans
afr	sn	Afrikaans language
afa	sn	Afroasiatic languages
azb	sn	Afshar
azb	sn	Afshar dialect
agd	sn	Agarabe
agd	sn	Agarabe language
awn	sn	Agau
awn	sn	Agau language
agq	sn	Aghem
agq	sn	Aghem language
esu	sn	Aglemiut
esu	sn	Aglemiut dialect
knn	sn	Agri
knn	sn	Agri dialect
agt	sn	Agta
agt	sn	Agta language
agr	sn	Aguaruna
agr	sn	Aguaruna dialect
agx	sn	Agul
agx	sn	Agul language
msm	sn	Agusan Manobo
msm	sn	Agusan Manobo language
agn	sn	Agutaynon
agn	sn	Agutaynon language
aha	sn	Ahanta
aha	sn	Ahanta language
ahr	sn	Ahirani
ahr	sn	Ahirani language
ahi	sn	Ahizi
ahm	sn	Ahizi
ahp	sn	Ahizi
ahi	sn	Ahizi language
ahm	sn	Ahizi language
ahp	sn	Ahizi language
aho	sn	Ahom
aho	sn	Ahom language
cnk	sn	Ahraing Khumi
cnk	sn	Ahraing Khumi dialect
aht	sn	Ahtena
aht	sn	Ahtena language
ajg	sn	Aja (Benin and Togo)
aja	sn	Aja (Sudan)
ajg	sn	Aja language (Benin and Togo)
aja	sn	Aja language (Sudan)
aji	sn	Ajie
aji	sn	Ajie language
axk	sn	Aka
axk	sn	Aka (Central African Republic)
axk	sn	Aka language (Central African Republic)
aka	sn	Akan
aka	sn	Akan language
knj	sn	Akatek
knj	sn	Akatek language
tsr	sn	Akei
tsr	sn	Akei language
cop	sn	Akhmimic
cop	sn	Akhmimic dialect
akv	sn	Akhwakh
akv	sn	Akhwakh language
kvr	sn	Akit
kvr	sn	Akit dialect
che	sn	Akka
che	sn	Akka dialect
akk	sn	Akkadian
akk	sn	Akkadian language
akl	sn	Aklanon
akl	sn	Aklanon language
akz	sn	Alabama
akz	sn	Alabama language
alc	sn	Alacaluf
alc	sn	Alacaluf language
ald	sn	Aladian
ald	sn	Aladian language
amp	sn	Alamblak
amp	sn	Alamblak language
alj	sn	Alangan
alj	sn	Alangan language
btz	sn	Alas
btz	sn	Alas dialect
alh	sn	Alawa
alh	sn	Alawa language
sqi	sn	Albanian
sqi	sn	Albanian language
gsw	sn	Alemannic dialects
ale	sn	Aleut
ale	sn	Aleut language
alg	sn	Algonquian languages
alq	sn	Algonquin
alq	sn	Algonquin language
aes	sn	Alsea
aes	sn	Alsea language
alt	sn	Altai
atv	sn	Altai
alt	sn	Altai language
atv	sn	Altai language
tut	sn	Altaic languages
xua	sn	Alu Kurumba
xua	sn	Alu Kurumba language
alp	sn	Alune
alp	sn	Alune language
alz	sn	Alur
alz	sn	Alur language
alr	sn	Alutor
alr	sn	Alutor language
aly	sn	Alyawarra
aly	sn	Alyawarra language
amm	sn	Ama (Papua New Guinea)
amm	sn	Ama language (Papua New Guinea)
amc	sn	Amahuaca
amc	sn	Amahuaca language
amn	sn	Amanab
amn	sn	Amanab language
amg	sn	Amarag
amg	sn	Amarag language
amk	sn	Ambai
amk	sn	Ambai language
leb	sn	Ambo (Zambia)
leb	sn	Ambo dialect (Zambia)
abs	sn	Ambonese Malay
abs	sn	Ambonese Malay dialect
mmg	sn	Ambrym
tvk	sn	Ambrym
mmg	sn	Ambrym language
tvk	sn	Ambrym language
adx	sn	Amdo
adx	sn	Amdo dialect
aey	sn	Amele
aey	sn	Amele language
ase	sn	American Sign
ase	sn	American Sign Language
ifa	sn	Amganad Ifugao
ifa	sn	Amganad Ifugao dialect
amh	sn	Amharic
amh	sn	Amharic language
amy	sn	Ami (Australia)
amy	sn	Ami language (Australia)
ciw	sn	Amikwa
ciw	sn	Amikwa language
ami	sn	Amis
ami	sn	Amis language
kal	sn	Ammassalimiut
kal	sn	Ammassalimiut dialect
apz	sn	Ampale
apz	sn	Ampale language
ame	sn	Amuesha
ame	sn	Amuesha language
amu	sn	Amuzgo
azg	sn	Amuzgo
azm	sn	Amuzgo
amu	sn	Amuzgo language
azg	sn	Amuzgo language
azm	sn	Amuzgo language
akg	sn	Anakalang
akg	sn	Anakalang dialect
anm	sn	Anal
anm	sn	Anal language
xmk	sn	Ancient Macedonian
ano	sn	Andoque
ano	sn	Andoque language
aty	sn	Aneityum
aty	sn	Aneityum language
anz	sn	Anem
anz	sn	Anem language
aby	sn	Aneme Wake
aby	sn	Aneme Wake language
ane	sn	Anesu
ane	sn	Anesu language
akh	sn	Angal Heneng
akh	sn	Angal Heneng language
njm	sn	Angami
njm	sn	Angami language
anc	sn	Angas
anc	sn	Angas language
agg	sn	Anggor
agg	sn	Anggor language
anp	sn	Angika
anp	sn	Angika language
akb	sn	Angkola
