MARCrole	MARCcode	Definition	OLACrole
Actor	act	Use for a person or organization who principally exhibits acting skills in a musical or dramatic presentation or entertainment. 	performer
Adapter	adp	Use for a person or organization who 1) reworks a musical composition, usually for a different medium, or 2) rewrites novels or stories for motion pictures or other audiovisual medium. 	(omit role)
Animator	anm	Use for a person or organization who draws the two-dimensional figures, manipulates the three dimensional objects and/or also programs the computer to move objects and images for the purpose of animated film processing. Animation cameras, stands, celluloid screens, transparencies and inks are some of the tools of the animator. 	(omit role)
Annotator	ann	Use for a person who writes manuscript annotations on a printed item. 	annotator
Applicant	app	Use for a person or organization responsible for the submission of an application or who is named as eligible for the results of the processing of the application (e.g., bestowing of rights, reward, title, position). 	(omit role)
Architect	arc	Use for a person or organization who designs structures or oversees their construction. 	(omit role)
Arranger	arr	Use for a person or organization who transcribes a musical composition, usually for a different medium from that of the original; in an arrangement the musical substance remains essentially unchanged. 	(omit role)
Artist	art	Use for a person (e.g., a painter) or organization who conceives, and perhaps also implements, an original graphic design or work of art, if specific codes (e.g., “egr”, “etr”) are not desired. For book illustrators, prefer Illustrator “ill”. 	(omit role)
Assignee	asg	Use for a person or organization to whom a license for printing or publishing has been transferred. 	(omit role)
Associated name	asn	Use for a person or organization associated with or found in an item or collection, which cannot be determined to be that of a Former owner “fmo” or other designated relator indicative of provenance. 	(omit role)
Attributed name	att	Use for an author, artist, etc., relating him/her to a work for which there is or once was substantial authority for designating that person as author, creator, etc. of the work. 	(omit role)
Auctioneer	auc	Use for a person or organization in charge of the estimation and public auctioning of goods, particularly books, artistic works, etc. 	(omit role)
Author	aut	Use for a person or organization chiefly responsible for the intellectual or artistic content of a work, usually printed text. This term may also be used when more than one person or body bears such responsibility. 	author
Author in quotations or text extracts	aqt	Use for a person or organization whose work is largely quoted or extracted in works to which he or she did not contribute directly. Such quotations are found particularly in exhibition catalogs, collections of photographs, etc. 	(omit role)
Author of afterword, colophon, etc.	aft	Use for a person or organization responsible for an afterword, postface, colophon, etc. but who is not the chief author of a work. 	(omit role)
Author of dialog	aud	Use for a person or organization responsible for the dialog or spoken commentary for a screenplay or sound recording. 	author
Author of introduction, etc.	aui	Use for a person or organization responsible for an introduction, preface, foreword, or other critical introductory matter, but who is not the chief author. 	(omit role)
Author of screenplay, etc.	aus	Use for a person or organization responsible for a motion picture screenplay, dialog, spoken commentary, etc. 	(omit role)
Bibliographic antecedent	ant	Use for a person or organization responsible for a work upon which the work represented by the catalog record is based. This may be appropriate for adaptations, sequels, continuations, indexes, etc. 	(omit role)
Binder	bnd	Use for a person or organization responsible for the binding of printed or manuscript materials. 	(omit role)
Binding designer	bdd	Use for a person or organization responsible for the binding design of a book, including the type of binding, the type of materials used, and any decorative aspects of the binding. 	(omit role)
Book designer	bkd	Use for a person or organization responsible for the entire graphic design of a book, including arrangement of type and illustration, choice of materials, and process used. 	(omit role)
Book producer	bkp	Use for a person or organization responsible for the production of books and other print media, if specific codes (e.g., “bkd”, “egr”, “tyd”, “prt”) are not desired. 	(omit role)
Bookjacket designer	bjd	Use for a person or organization responsible for the design of flexible covers designed for or published with a book, including the type of materials used, and any decorative aspects of the bookjacket. 	(omit role)
Bookplate designer	bpd	Use for a person or organization responsible for the design of a book owner's identification label that is most commonly pasted to the inside front cover of a book. 	(omit role)
Bookseller	bsl	Use for a person or organization who makes books and other bibliographic materials available for purchase. Interest in the materials is primarily lucrative. 	(omit role)
Calligrapher	cll	Use for a person or organization who writes in an artistic hand, usually as a copyist and or engrosser. 	
Cartographer	ctg	Use for a person or organization responsible for the creation of maps and other cartographic materials. 	(role needed)
Censor	cns	Use for a censor, bowdlerizer, expurgator, etc., official or private. 	(omit role)
Choreographer	chr	Use for a person or organization who composes or arranges dances or other movements (e.g., "master of swords") for a musical or dramatic presentation or entertainment. 	(omit role)
Cinematographer	cng	Use for a person or organization who is in charge of the images captured for a motion picture film. The cinematographer works under the supervision of a director, and may also be referred to as director of photography. Do not confuse with videographer. 	(omit role)
Client	cli	Use for a person or organization for whom another person or organization is acting. 	(omit role)
Collaborator	clb	Use for a person or organization that takes a limited part in the elaboration of a work of another person or organization that brings complements (e.g., appendices, notes) to the work. 	(omit role)
Collector	col	Use for a person or organization who has brought together material from various sources that has been arranged, described, and cataloged as a collection. A collector is neither the creator of the material nor a person to whom manuscripts in the collection may have been addressed. 	compiler
Collotyper	clt	Use for a person or organization responsible for the production of photographic prints from film or other colloid that has ink-receptive and ink-repellent surfaces. 	(omit role)
Commentator	cmm	Use for a person or organization who provides interpretation, analysis, or a discussion of the subject matter on a recording, motion picture, or other audiovisual medium. 	(role once discsussed)
Commentator for written text	cwt	Use for a person or organization responsible for the commentary or explanatory notes about a text. For the writer of manuscript annotations in a printed book, use Annotator “ann”	annotator
Compiler	com	Use for a person or organization who produces a work or publication by selecting and putting together material from the works of various persons or bodies. 	compiler
Complainant	cpl	Use for the party who applies to the courts for redress, usually in an equity proceeding. 	(omit role)
Complainant-appellant	cpt	Use for a complainant who takes an appeal from one court or jurisdiction to another to reverse the judgment, usually in an equity proceeding. 	(omit role)
Complainant-appellee	cpe	Use for a complainant against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment, usually in an equity proceeding. 	(omit role)
Composer	cmp	Use for a person or organization who creates a musical work, usually a piece of music in manuscript or printed form. 	(omit role)
Compositor	cmt	Use for a person or organization responsible for the creation of metal slug, or molds made of other materials, used to produce the text and images in printed matter. 	(omit role)
Conceptor	ccp	Use for a person or organization responsible for the original idea on which a work is based, this includes the scientific author of an audio-visual item and the conceptor of an advertisement. 	(omit role)
Conductor	cnd	Use for a person who directs a performing group (orchestra, chorus, opera, etc.) in a musical or dramatic presentation or entertainment. 	(omit role)
Consultant	csl	Use for a person or organization relevant to a resource, who is called upon for professional advice or services in a specialized field of knowledge or training. 	consultant
Consultant to a project	csp	Use for a person or organization relevant to a resource, who is engaged specifically to provide an intellectual overview of a strategic or operational task and by analysis, specification, or instruction, to create or propose a cost-effective course of action or solution. 	consultant
Contestant	cos	Use for the party who opposes, resists, or disputes, in a court of law, a claim, decision, result, etc. 	(omit role)
Contestant-appellant	cot	Use for a contestant who takes an appeal from one court of law or jurisdiction to another to reverse the judgment. 	(omit role)
Contestant-appellee	coe	Use for a contestant against whom an appeal is taken from one court of law or jurisdiction to another to reverse the judgment. 	(omit role)
