LCCN	LCSH	Identifier	Name
sh85148840	!Xõ language	huc	=/Hua
sh85000043	Abaknon language	abx	Inabaknon
sh85000058	Abau language	aau	Abau
sh85000059	Abazin language	abq	Abaza
sh85000120	Abe language	any	Anyin
sh85000148	Abidji language	abi	Abidji
sh85000164	Abipon language	axb	Abipon
sh85000169	Abkhaz language	abk	Abkhazian
sh98003462	Abo language (Cameroon)	abb	Bankon
sh85000189	Abor language	adi	Adi
sh85000266	Abua language	abn	Abua
sh87003881	Abujhmaria language	mrr	Maria (India)
sh85000273	Abulas language	abt	Ambulas
sh99004230	Abun language	kgr	Abun
sh86002298	Abure language	abu	Abure
sh85000343	Acawai language	ake	Akawaio
sh85000484	Achagua language	aca	Achagua
sh87002571	Achang language	acn	Achang
sh85000504	Achinese language	ace	Achinese
sh85000509	Achomawi language	acv	Achumawi
sh85000514	Achuar language	acu	Achuar-Shiwiar
sh85000564	Acoli language	ach	Acoli
sh85000567	Acoma language	kjq	Western Keres
sh85000795	Adangme language	ada	Adangme
sh85073193	Adiwasi Oriya language	ort	Adivasi Oriya
sh85001057	Aduma language	dma	Duma
sh85001214	Adygei language	ady	Adyghe
sh86001613	Adyukru language	adj	Adioukrou
sh85001219	Adzhar language	kat	Georgian
sh85001242	Aekyom language	awi	Aekyom
sh87005173	Aeolic Greek language	grc	Ancient Greek (to 1453)
sh85001489	Afade language	aal	Afade
sh85001491	Afar language	aar	Afar
sh85001761	Afrihili language (Artificial)	afh	Afrihili
sh85001765	Afrikaans language	afr	Afrikaans
sh91002836	Afshar language	azb	South Azerbaijani
sh85002045	Agarabe language	agd	Agarabi
sh85002064	Agau language	awn	Awngi
sh85002218	Aglemiut language	esu	Central Yupik
sh85002257	Agri language	knn	Konkani (individual language)
sh85002509	Agta language	agt	Central Cagayan Agta
sh85002511	Aguacatec language	agu	Aguacateco
sh85002512	Aguaruna language	agr	Aguaruna
sh85002517	Agul language	agx	Aghul
sh88007669	Agusan Manobo language	msm	Agusan Manobo
sh92005054	Agutaynon language	agn	Agutaynen
sh97005106	Ahirani language	ahr	Ahirani
sh85002533	Ahom language	aho	Ahom
sh85002537	Ahtena language	aht	Ahtena
sh85003028	Aja language (Benin and Togo)	ajg	Aja (Benin)
sh85003029	Aja language (Sudan)	aja	Aja (Sudan)
