Ankave language	aak	3	su:Ankave language
Afade language	aal	0	su:Afade language
Penobscot language	aaq	32	su:Penobscot language
Wawenock language	aaq	1	su:Wawenock language
Afar language	aar	54	su:Afar language
Abau language	aau	15	su:Abau language
Abo (Cameroon) language	abb	2	su:Abo (Cameroon) language
Abidji language	abi	14	su:Abidji language
Abkhaz language	abk	116	su:Abkhaz language
Abung dialect	abl	3	su:Abung dialect
Abua language	abn	16	su:Abua language
Abazin language	abq	40	su:Abazin language
Tapanta language	abq	0	su:Tapanta language
Abron language	abr	0	su:Abron language
Ambonese Malay language	abs	2	su:Ambonese Malay language
Abulas language	abt	35	su:Abulas language
Abure language	abu	1	su:Abure language
Abaknon language	abx	10	su:Abaknon language
Aneme Wake language	aby	2	su:Aneme Wake language
Abui language	abz	1	su:Abui language
Achagua language	aca	8	su:Achagua language
Cubulco Achi language	acc	20	su:Cubulco Achi language
Achinese language	ace	97	su:Achinese language
Acoli language	ach	54	su:Acoli language
Achang language	acn	5	su:Achang language
Achi language	acr	64	su:Achi language
Achuar language	acu	35	su:Achuar language
Achomawi language	acv	15	su:Achomawi language
Adangme language	ada	66	su:Adangme language
Abor language	adi	31	su:Abor language
Bokar language	adi	3	su:Bokar language
Milang language	adi	1	su:Milang language
Padam language	adi	2	su:Padam language
Bori language	adi	2	su:Bori language
Pailibo language	adi	1	su:Pailibo language
Adyukru language	adj	14	su:Adyukru language
Gallong language	adl	7	su:Gallong language
Wailpi language	adt	0	su:Wailpi language
Amdo language	adx	9	su:Amdo language
Adygei language	ady	180	su:Adygei language
Chemgui language	ady	1	su:Chemgui language
Atsera language	adz	20	su:Atsera language
Eastern Arrernte language	aer	12	su:Eastern Arrernte language
Alsea language	aes	6	su:Alsea language
Amele language	aey	15	su:Amele language
Afrihili (Artificial) language	afh	2	su:Afrihili (Artificial) language
Afrikaans language	afr	2	su:Afrikaans language
Awutu language	afu	2	su:Awutu language
Senya language	afu	0	su:Senya language
Agarabe language	agd	10	su:Agarabe language
Anggor language	agg	11	su:Anggor language
Argobba language	agj	5	su:Argobba language
Agutaynon language	agn	13	su:Agutaynon language
Paranan language	agp	13	su:Paranan language
Aghem language	agq	3	su:Aghem language
Aguaruna language	agr	19	su:Aguaruna language
Agta language	agt	34	su:Agta language
Aguacatec language	agu	1	su:Aguacatec language
Agul language	agx	12	su:Agul language
Ahanta language	aha	3	su:Ahanta language
Kemant language	ahg	5	su:Kemant language
Quara language	ahg	2	su:Quara language
Kaw language	ahk	37	su:Kaw language
Igo language	ahl	7	su:Igo language
Ahom language	aho	16	su:Ahom language
Ahirani language	ahr	0	su:Ahirani language
Ahtena language	aht	16	su:Ahtena language
Arosi language	aia	33	su:Arosi language
Aja (Sudan) language	aja	3	su:Aja (Sudan) language
Aja (Benin and Togo) language	ajg	3	su:Aja (Benin and Togo) language
Ajie language	aji	26	su:Ajie language
Akan language	aka	153	su:Akan language
Angkola language	akb	3	su:Angkola language
Mpur language (Indonesia)	akc	1	su:Mpur language (Indonesia)
Acawai language	ake	9	su:Acawai language
Anakalang language	akg	0	su:Anakalang language
Angal Heneng language	akh	4	su:Angal Heneng language
Akkadian language	akk	2	su:Akkadian language
Aklanon language	akl	13	su:Aklanon language
Araki language	akr	5	su:Araki language
Akhwakh language	akv	4	su:Akhwakh language
Alabama language	akz	260	su:Alabama language
Mobilian trade language	akz	7	su:Mobilian trade language
Alacaluf language	alc	12	su:Alacaluf language
Aladian language	ald	3	su:Aladian language
Aleut language	ale	336	su:Aleut language
Alawa language	alh	34	su:Alawa language
Alangan language	alj	7	su:Alangan language
Larike-Wakasihu language	alo	2	su:Larike-Wakasihu language
Alune language	alp	23	su:Alune language
Algonquin language	alq	163	su:Algonquin language
