Pemón language	aoc	0	su:Pemón language
Bakwé language	bjw	0	su:Bakwé language
Gólo language	bbp	0	su:Gólo language
Afade language	aal	0	su:Afade language
Tapanta language	abq	0	su:Tapanta language
Abron language	abr	0	su:Abron language
Wailpi language	adt	0	su:Wailpi language
Senya language	afu	0	su:Senya language
Ahirani language	ahr	0	su:Ahirani language
Anakalang language	akg	0	su:Anakalang language
Amarag language	amg	0	su:Amarag language
Andilyaugwa language	aoi	0	su:Andilyaugwa language
Kuvakan language	bak	0	su:Kuvakan language
Kohumono language	bcs	0	su:Kohumono language
Bankudu-Balue language	bdu	0	su:Bankudu-Balue language
Yugambeh-Bundjalung dialects	bdy	0	su:Yugambeh-Bundjalung dialects
Yugumbeh language	bdy	0	su:Yugumbeh language
Marari language	bfy	0	su:Marari language
Deswali language	bgc	0	su:Deswali language
Rathvi dialect	bgd	0	su:Rathvi dialect
Bagri language	bgq	0	su:Bagri language
Bhatri dialect	bgw	0	su:Bhatri dialect
Bhalesi language	bhd	0	su:Bhalesi language
Bhadrawahi language	bhd	0	su:Bhadrawahi language
Kolo language	bhp	0	su:Kolo language
Birhor language	biy	0	su:Birhor language
Southern Bontoc language	bkb	0	su:Southern Bontoc language
Ayta Mag Indi language	blx	0	su:Ayta Mag Indi language
Boomu language	bmq	0	su:Boomu language
Pawari language	bns	0	su:Pawari language
Taiwano language	bsn	0	su:Taiwano language
Basketo language	bst	0	su:Basketo language
Meratus language	bvu	0	su:Meratus language
Balong language	bwt	0	su:Balong language
Chulupí language	cag	0	su:Chulupí language
Cavineño language	cav	0	su:Cavineño language
Canichana language	caz	0	su:Canichana language
Ozumacín language	chz	0	su:Ozumacín language
Chinali language	cih	0	su:Chinali language
Amikwa language	ciw	0	su:Amikwa language
Khumi Awa language	cka	0	su:Khumi Awa language
Maa (Southeastern Asia) language	cma	0	su:Maa (Southeastern Asia) language
Central Mnong language	cmo	0	su:Central Mnong language
Ahraing Khumi language	cnk	0	su:Ahraing Khumi language
Cofán language	con	0	su:Cofán language
Esuulaalu language	csk	0	su:Esuulaalu language
Cupeño language	cup	0	su:Cupeño language
Kubachi language	dar	0	su:Kubachi language
Chutiya language	der	0	su:Chutiya language
Dhodia language	dho	0	su:Dhodia language
Dargari language	dhr	0	su:Dargari language
Jamsay dialect	djm	0	su:Jamsay dialect
Dungra Bhil language	duh	0	su:Dungra Bhil language
Daza language	dzd	0	su:Daza language
Karksi language	est	0	su:Karksi language
Aglemiut language	esu	0	su:Aglemiut language
Annobon language	fab	0	su:Annobon language
Adiwasi Garasia language	gas	0	su:Adiwasi Garasia language
Boran language	gax	0	su:Boran language
Yaghwatadaxa language	gdf	0	su:Yaghwatadaxa language
Kùláál language	glj	0	su:Kùláál language
Chitapavani language	gom	0	su:Chitapavani language
Kudali language	gom	0	su:Kudali language
Parsi-Gujarati language	guj	0	su:Parsi-Gujarati language
Marigl language	gvf	0	su:Marigl language
Zoró language	gvo	0	su:Zoró language
Gwa (Ghana) language	gwx	0	su:Gwa (Ghana) language
Uwana language	hau	0	su:Uwana language
Kapau language	hmt	0	su:Kapau language
Hanunóo language	hnn	0	su:Hanunóo language
Székely language	hun	0	su:Székely language
Iwaidji language	ibd	0	su:Iwaidji language
Ibani language	iby	0	su:Ibani language
Idakho-Isukha-Tiriki language	ida	0	su:Idakho-Isukha-Tiriki language
Idaté language	idt	0	su:Idaté language
Amganad Ifugao language	ifa	0	su:Amganad Ifugao language
Ayangan Ifugao language	ifb	0	su:Ayangan Ifugao language
Kiangan Ifugao language	ifk	0	su:Kiangan Ifugao language
Kolokuma language	ijc	0	su:Kolokuma language
Inuvialuktun language	ikt	0	su:Inuvialuktun language
Occidental (Artificial) language	ile	0	su:Occidental (Artificial) language
Münkü language	irn	0	su:Münkü language
Kasaba language	iru	0	su:Kasaba language
Itzá language	itz	0	su:Itzá language
Itbayat language	ivb	0	su:Itbayat language
Jah Hut language	jah	0	su:Jah Hut language
Jaunsari language	jns	0	su:Jaunsari language
Kalâtdlisut language	kal	0	su:Kalâtdlisut language
Jenukuruba language	kan	0	su:Jenukuruba language
Ingilo language	kat	0	su:Ingilo language
Kamaiurá language	kay	0	su:Kamaiurá language
Kagoro (Nigeria) language	kcg	0	su:Kagoro (Nigeria) language
Kakwa language	keo	0	su:Kakwa language
Bilaspuri language	kfs	0	su:Bilaspuri language
Komering language	kge	0	su:Komering language
Delki Khadia dialect	khr	0	su:Delki Khadia dialect
Northeastern Kiwai language	kiw	0	su:Northeastern Kiwai language
Khün language	kkh	0	su:Khün language
Guguyimidjir language	kky	0	su:Guguyimidjir language
Sotang Kura language	kle	0	su:Sotang Kura language
Kâte language	kmg	0	su:Kâte language
Koongo (Western Kongo) language	kng	0	su:Koongo (Western Kongo) language
Kunabi language	knn	0	su:Kunabi language
Komi-Yaz'va language	kpv	0	su:Komi-Yaz'va language
Kumali language	kra	0	su:Kumali language
Uare language	ksj	0	su:Uare language
Qebena dialect	ktb	0	su:Qebena dialect
Kurmali language	kyw	0	su:Kurmali language
Southern Subanen language	laa	0	su:Southern Subanen language
Hakétia language	lad	0	su:Hakétia language
Chamba Lahuli language	lae	0	su:Chamba Lahuli language
Pattani (India) language	lae	0	su:Pattani (India) language
Pasir (Lawangan) language	lbx	0	su:Pasir (Lawangan) language
Ambo (Zambia) language	leb	0	su:Ambo (Zambia) language
Lahu Bakeo dialect	lhu	0	su:Lahu Bakeo dialect
Limburgish language	lim	0	su:Limburgish language
Hua Lisu language	lis	0	su:Hua Lisu language
Lembak Bilide language	liw	0	su:Lembak Bilide language
Lamé (Cameroon) language	lme	0	su:Lamé (Cameroon) language
Luiseño language	lui	0	su:Luiseño language
Jhadi dialect	mar	0	su:Jhadi dialect
Koshti (Marathi) language	mar	0	su:Koshti (Marathi) language
Higaonon language	mba	0	su:Higaonon language
Mochó language	mhc	0	su:Mochó language
Yana (Burkina Faso and Togo) language	mos	0	su:Yana (Burkina Faso and Togo) language
Mullukmulluk language	mpb	0	su:Mullukmulluk language
Mandjildjara language	mpj	0	su:Mandjildjara language
Mbuko language	mqb	0	su:Mbuko language
Mbelime language	mql	0	su:Mbelime language
Abujhmaria language	mrr	0	su:Abujhmaria language
Madiya-Gondi language	mrr	0	su:Madiya-Gondi language
Lanao Moro language	mrw	0	su:Lanao Moro language
Mewari language	mtr	0	su:Mewari language
Vulum language	mug	0	su:Vulum language
Mpus language	mug	0	su:Mpus language
Muduva language	muv	0	su:Muduva language
Mesqan language	mvz	0	su:Mesqan language
Majingai language	mwm	0	su:Majingai language
Mün Chin language	mwq	0	su:Mün Chin language
Pirahá language	myp	0	su:Pirahá language
Mo (Côte d'Ivoire and Ghana) language	mzw	0	su:Mo (Côte d'Ivoire and Ghana) language
Rongmei language	nbu	0	su:Rongmei language
Pahri language	new	0	su:Pahri language
Nez Percé language	nez	0	su:Nez Percé language
Ngemba (Cameroon) language	nge	0	su:Ngemba (Cameroon) language
Mankon language	nge	0	su:Mankon language
Khomani language	ngh	0	su:Khomani language
Chiripá language	nhd	0	su:Chiripá language
Tenyidie dialect	njm	0	su:Tenyidie dialect
Nkunya language	nko	0	su:Nkunya language
Nimadi language	noe	0	su:Nimadi language
Baria language	nrb	0	su:Baria language
Gananwa language	nso	0	su:Gananwa language
Moklum language	nst	0	su:Moklum language
Lungchang language	nst	0	su:Lungchang language
Yogli language	nst	0	su:Yogli language
Ngaanyatjara language	ntj	0	su:Ngaanyatjara language
Nguôn language	nuo	0	su:Nguôn language
Béarnais language	oci	0	su:Béarnais language
Önge language	oon	0	su:Önge language
Orejón language	ore	0	su:Orejón language
Koozime language	ozm	0	su:Koozime language
Pothwari language	phr	0	su:Pothwari language
Betsileo language	plt	0	su:Betsileo language
Pelende language	ppp	0	su:Pelende language
Provençal language	pro	0	su:Provençal language
Cañari language	quf	0	su:Cañari language
Western Meohang language	raf	0	su:Western Meohang language
Rangdania language	rah	0	su:Rangdania language
Ritarungo language	rit	0	su:Ritarungo language
Caló (Romani) language	rmr	0	su:Caló (Romani) language
Sangu (Tanzania) language	sbp	0	su:Sangu (Tanzania) language
Koyraboro Senni language	ses	0	su:Koyraboro Senni language
Bartang language	sgh	0	su:Bartang language
Khuf language	sgh	0	su:Khuf language
Syènara language	shz	0	su:Syènara language
Dänjong-kä language	sip	0	su:Dänjong-kä language
Kildin Sami language	sjd	0	su:Kildin Sami language
Siraiki Sindhi language	skr	0	su:Siraiki Sindhi language
Soliga language	sle	0	su:Soliga language
Korekore language	sna	0	su:Korekore language
Komunku language	snp	0	su:Komunku language
Sulod language	srg	0	su:Sulod language
Sirmauri language	srx	0	su:Sirmauri language
Balangingì language	sse	0	su:Balangingì language
Mupun language	sur	0	su:Mupun language
Lashkh language	sva	0	su:Lashkh language
Cifundi language	swh	0	su:Cifundi language
Bune Bonda language	swu	0	su:Bune Bonda language
Shekhawati language	swv	0	su:Shekhawati language
Tapirapé language	taf	0	su:Tapirapé language
Konda-Reddi dialect	tel	0	su:Konda-Reddi dialect
Tigré language	tig	0	su:Tigré language
Tiéfo language	tiq	0	su:Tiéfo language
Nenusa-Miangas language	tld	0	su:Nenusa-Miangas language
Tugen language	tuy	0	su:Tugen language
Unde Kaili language	unz	0	su:Unde Kaili language
Varhadi-Nagpuri language	vah	0	su:Varhadi-Nagpuri language
Guarijío language	var	0	su:Guarijío language
Dehawali language	vas	0	su:Dehawali language
Walamo language	wal	0	su:Walamo language
Wakawaka language	wkw	0	su:Wakawaka language
Lebou language	wol	0	su:Lebou language
Khetrani language	xhe	0	su:Khetrani language
Mendalam Kayan language	xkd	0	su:Mendalam Kayan language
Ngologa language	xkv	0	su:Ngologa language
Nunuma language	xsm	0	su:Nunuma language
Yerukala language	yeu	0	su:Yerukala language
Jindjibandji language	yij	0	su:Jindjibandji language
Yasa language	yko	0	su:Yasa language
Ijebu language	yor	0	su:Ijebu language
Yaouré language	yre	0	su:Yaouré language
Maranungku language	zmr	0	su:Maranungku language
