Archive_ID	RepositoryName
70	\n      Universität Stuttgart, Fakultät 5, Germany, Computer Science Archive\n    
361	
433	${dspace.name}
316	11th Joint Symposium on Neural Computation
346	@rchiveSIC - ©HAL
270	A Celebration of Women Writers
374	Academic Archive On-line
483	Academic Commons
397	Academic Research Repository at the Institute of Developing Economies,Japan(ARRIDE)
136	ACS Digital Library
661	African Higher Education Research Online
104	African Journals Online
290	AIM25 - Archives in London
567	Åìµþ³Ø·ÝÂç³Ø¥ê¥Ý¥¸¥È¥ê
417	AKF OAI-PMH Repository
699	ALADIN : DSpace de la MSH-Alpes
218	Alexandria - University of St.Gallen (Switzerland)
124	Allen Newell Collection; Carnegie Mellon University Archives
662	ALT Open Access Repository
419	AMCoR
73	AMS Historica
61	Analytical Sciences Digital Library
466	Animal Diversity Web
92	AnimalPhysiology-LivestockSystems
406	Ankara Universitesi OAI Repository
376	Annals of Genealogical Research
629	Anuário Internacional de Comunicação Lusófona
475	ARAN
215	ArchiMer, Institutional Archive of Ifremer (French Research Institute for Exploitation of the Sea)
146	Archipel
40	Architekturinformatik : Digitale Bibliothek :\n Verarbeitung
41	Archive ENS LSH
14	ARCHIVE OF EUROPEAN INTEGRATION
185	Archivio Tesi
282	Archivo Digital UPM
583	Archivo Institucional de la Universidad de Huelva
286	Aristotle University of Thessaloniki
447	Arizona Memory Project
114	ArtXiker - ©HAL
470	arXiv
568	ASB01 (PURE 3.13.0)
244	ASDM Sonoran Desert Digital Library
91	Athenea Digital
523	Auburn University - Transforming America
426	Auburn University Digital Library
467	AUP publications
584	Ball State University Digital Media Repository
213	Baltic Marine Environment Bibliography 1970- 
432	Barrel
674	Bayerische Staatsbibliothek München: Digitale Sammlungen
499	Bayerische Staatsbibliothek München: Retrodigitalisierte Daten
2	BDTD Ibict
550	BDTD Ibict
336	bepress Law Collection
31	Berlin-Brandenburgische Akademie der Wissenschaften, GERMANY, Document Server
314	Berlin-Brandenburgische Akademie der Wissenschaften, GERMANY, Document Server
396	Biblios
503	Biblioteca Digital da UFPR
112	Biblioteca Digital de Castilla La Mancha
563	Biblioteca Digital de la Comunidad de Madrid
669	Biblioteca Nazionale Marciana - Ufficio Carte Geografiche, Venezia, Italia
551	Biblioteca Personal 3 (SYBASE)
56	Biblioteca Un Single en Madrid
154	Biblioteca Universidad De La Sabana - Catálogo de Tesis y Disertaciones 
248	Biblioteca Valenciana Digital
294	Biblioteca Virtual de Derecho Aragonés
265	Biblioteca Virtual de La Rioja
368	Biblioteca Virtual de Prensa historica
200	Biblioteca Virtual del Principado de Asturias
295	Biblioteca Virtual Lastanosa
315	Biblioteca Virtual Sierra-Pambley
631	Biblioteka Cyfrowa Politechniki Krakowskiej
178	Bibliotheksservice-Zentrum Baden-Württemberg, Germany, Virtueller Medienserver
129	Bibliothèque interuniversitaire de médecine et d’odontologie (Paris)
278	Bibliothèque numérique de l'enssib
247	Bibliothèques Virtuelles Humanistes
89	BiblioVault OAI Repository
335	Biblos-e Archivo (Universidad Autonoma de Madrid)
158	BieColl - Bielefeld Electronic Collections
307	BieSOn - Bielefelder Server für Online-Publikationen (University of Bielefeld, GERMANY)
227	BieTAS - Bielefelder Text Archiv Server (University of Bielefeld, GERMANY)
612	Bioline International
65	BioMed Central
520	Blekinge Institute of Technology (BTH) - Institutional Repository
171	bnarchives
700	Bollettino Telematico di Filosofia Politica
597	Boloka bediener
639	BORA CMI
625	Bristol Repository of Scholarly Eprints (ROSE) 
82	British History Online
405	Brunel University Research Archive (BURA)
410	CADAIR: Aberystwyth University repository
337	Caltech Archives Oral Histories Online
474	Caltech Computer Science Technical Reports
327	Caltech Control and Dynamical Systems Technical Reports
134	Caltech Earthquake Engineering Research Laboratory Technical Reports
343	Caltech Graduate Aeronautical Laboratories Fluid Mechanics Technical Reports
52	Caltech Large-Eddy Simulation and Subgrid-Scale Modeling for Turbulent Mixing and Reactive Flows
179	Caltech Library System Papers and Publications
624	Caltech Parallel and Distributed Systems Group
362	CaltechBOOK
353	CaltechMALN
159	CaltechSOLIDS
585	Calypso : Collections d'objets numériques - Bibliothèques de l'Université de Montréal
636	CAPTURA. Repositorio Academico de la Universidad de Chile
3	Cardiff ePrints Caerdydd
622	Carnegie Mellon University Informedia Public Domain Video Archive
485	Carnegie Museum of Natural History Diplodocus and Douglass Archives; Carnegie Mellon University Archives
707	Cartoteca ICC
75	CAV2001: Fourth International Symposium on Cavitation
357	CCLRC ePublication Archive
71	Central Connecticut State University Digital Archive
697	Central Connecticut State University Digital Collections
309	Central Economics and Mathematics Institute of Russian Academy of Sciences |
35	Centre de Ressources pour la Description de l'Oral (CRDO)
133	CERN Document Server
553	CIMEC Document Repository
560	CIP Publications
339	CISL Research Data Archive
459	CityU Institutional Repository
126	Civil Engineering Dimension
723	Claremont Colleges Digital Library (CCDL) Respository
421	Cleveland Memory Project at Cleveland State University (Cleveland, Ohio)
660	Clifford G. Shull Collection; Carnegie Mellon Univerity Archives
445	CLIO-i: Data Provider and Data Service. Liber Laboratory, UFPE
165	CLIO-i: Data Provider of FUNDAJ. Recife, Brazil
646	CNR PUMA/MetaPub Open Archive Initiative Repository 
497	CODA
167	Colorado State University Libraries Digital Repository
628	Combined Arms Research Library Digital Library
676	Comunicação & Sociedade
578	Comunicação e Sociedade
22	Conflict Resolution Education Catalog
23	Connexions Repository
300	conoZe.com
456	Contemporanea - Journal of Communication and Culture
473	CONTENTdm Server Respository
537	Contracampo
434	Copac National, Academic, & Special Library Catalogue
640	Copenhagen Business School Working papers
254	coruja
644	CSIR Research Space
142	CSTI Library
455	Cuadernos de Matemática y Mecánica
602	CUIR at Chulalongkorn University
37	Cumincad :\n Works
332	CURATOR : Chiba University's Repository for Access To Outcomes from Research
198	Dalarna University College Electronic Archive - DALEA
552	dare
615	Dataverse Network repository
184	DBA ISIS OAI SBAG
709	Deep Blue at the University of Michigan
590	Defense Technical Information Center OAI-PMH Repository
540	Des Paces
412	DESY Deutsches Elektronen-Synchrotron
689	DESY Deutsches Elektronen-Synchrotron
518	DIALNET OAI Articles
163	DIALNET OAI Theses
673	Digital Collections @ Brandeis
223	Digital Commons@ IWU
341	Digital Library of the Commons
230	Digital Library of the Formal Linguistics Department at the University of Warsaw
360	Digital Library of Wielkopolska
182	Digital Library of Wielkopolska
192	Digital Library of Wroclaw University
226	Digital Library of Zielona Góra
542	Digital Repository at Nanyang Technological University
611	Digital Repository at Nanyang Technological University
20	DigitalCommons@Bryant University
86	DigitalCommons@CalPoly
33	DigitalCommons@Fayetteville State University
232	DigitalCommons@ILR
76	DigitalCommons@Pace
263	DigitalCommons@Providence
241	DigitalCommons@The Texas Medical Center 
344	DigitalCommons@UConn
333	DigitalCommons@UM Law
191	DigitalCommons@University of Rhode Island
44	DigitalCommons@UTEP
90	Digitale Bibliothek Thüringen
712	DIGITUM: Universidad de Murcia
619	Dirección de Información, Documentación y Biblioteca UNEFM
692	DiscoverArchive at Vanderbilt University
384	dispute
416	Dissertations of the Universiteit van Amsterdam
224	dKNAV
378	DMG-Lib OAI Repository, Documents of the Digital Mechanism and Gear Library
627	DocTA - Doctoral Theses Archive
525	DOI Serbia
436	Dokumenten- und Publikationsserver Qucosa, Dresden, GERMANY, Document Server
66	Dokumenten- und Publikationsserver(HSSS) SLUB Dresden, GERMANY, Document Server
273	Dolnośląska Digital Library
276	DORAS
569	Doshisha University Academic Repository
304	DRCMR eprints
392	DRS at National Institute Of Oceanography
598	DSpace - Universidade do Porto 
505	DSpace a Parma
509	DSpace at Bromley College
544	DSpace at Cambridge
387	DSpace at Drake University
465	DSpace at ITG
664	DSpace at Kitware 
581	DSpace at My IUP
657	DSpace at My University
486	DSpace at Nagoya University
