Ankave language	aak	3	su:"Ankave language"
Afade language	aal	0	su:"Afade language"
Penobscot language	aaq	25	su:"Penobscot language"
Wawenock language	aaq	1	su:"Wawenock language"
Afar language	aar	53	su:"Afar language"
Abau language	aau	15	su:"Abau language"
Abo (Cameroon) language	abb	0	su:"Abo (Cameroon) language"
Abidji language	abi	14	su:"Abidji language"
Abkhaz language	abk	108	su:"Abkhaz language"
Abung dialect	abl	4	su:"Abung dialect"
Abua language	abn	16	su:"Abua language"
Abazin language	abq	40	su:"Abazin language"
Tapanta language	abq	0	su:"Tapanta language"
Abron language	abr	0	su:"Abron language"
Ambonese Malay language	abs	0	su:"Ambonese Malay language"
Abulas language	abt	35	su:"Abulas language"
Abure language	abu	1	su:"Abure language"
Abaknon language	abx	10	su:"Abaknon language"
Aneme Wake language	aby	2	su:"Aneme Wake language"
Abui language	abz	1	su:"Abui language"
Achagua language	aca	8	su:"Achagua language"
Cubulco Achi language	acc	17	su:"Cubulco Achi language"
Achinese language	ace	91	su:"Achinese language"
Acoli language	ach	52	su:"Acoli language"
Achang language	acn	5	su:"Achang language"
Achi language	acr	56	su:"Achi language"
Achuar language	acu	35	su:"Achuar language"
Achomawi language	acv	14	su:"Achomawi language"
Adangme language	ada	61	su:"Adangme language"
Abor language	adi	28	su:"Abor language"
Bokar language	adi	2	su:"Bokar language"
Milang language	adi	1	su:"Milang language"
Padam language	adi	2	su:"Padam language"
Bori language	adi	1	su:"Bori language"
Pailibo language	adi	0	su:"Pailibo language"
Adyukru language	adj	14	su:"Adyukru language"
Gallong language	adl	6	su:"Gallong language"
Wailpi language	adt	0	su:"Wailpi language"
Amdo language	adx	1	su:"Amdo language"
Adygei language	ady	161	su:"Adygei language"
Chemgui language	ady	0	su:"Chemgui language"
Atsera language	adz	20	su:"Atsera language"
Eastern Arrernte language	aer	12	su:"Eastern Arrernte language"
Alsea language	aes	3	su:"Alsea language"
Amele language	aey	14	su:"Amele language"
Afrihili (Artificial) language	afh	2	su:"Afrihili (Artificial) language"
Afrikaans language	afr	2	su:"Afrikaans language"
Awutu language	afu	2	su:"Awutu language"
Senya language	afu	0	su:"Senya language"
Agarabe language	agd	10	su:"Agarabe language"
Anggor language	agg	11	su:"Anggor language"
Argobba language	agj	5	su:"Argobba language"
Agutaynon language	agn	13	su:"Agutaynon language"
Paranan language	agp	13	su:"Paranan language"
Aghem language	agq	3	su:"Aghem language"
Aguaruna language	agr	7	su:"Aguaruna language"
Agta language	agt	32	su:"Agta language"
Aguacatec language	agu	0	su:"Aguacatec language"
Agul language	agx	12	su:"Agul language"
Ahanta language	aha	2	su:"Ahanta language"
Kemant language	ahg	5	su:"Kemant language"
Quara language	ahg	2	su:"Quara language"
Kaw language	ahk	36	su:"Kaw language"
Igo language	ahl	2	su:"Igo language"
Ahom language	aho	16	su:"Ahom language"
Ahirani language	ahr	0	su:"Ahirani language"
Ahtena language	aht	15	su:"Ahtena language"
Arosi language	aia	33	su:"Arosi language"
Aja (Sudan) language	aja	0	su:"Aja (Sudan) language"
Aja (Benin and Togo) language	ajg	0	su:"Aja (Benin and Togo) language"
Ajie language	aji	26	su:"Ajie language"
Akan language	aka	100	su:"Akan language"
Angkola language	akb	0	su:"Angkola language"
Mpur language (Indonesia)	akc	1	su:"Mpur language (Indonesia)"
Acawai language	ake	9	su:"Acawai language"
Anakalang language	akg	0	su:"Anakalang language"
Angal Heneng language	akh	4	su:"Angal Heneng language"
Akkadian language	akk	2	su:"Akkadian language"
Aklanon language	akl	7	su:"Aklanon language"
Araki language	akr	2	su:"Araki language"
Akhwakh language	akv	4	su:"Akhwakh language"
Alabama language	akz	27	su:"Alabama language"
Mobilian trade language	akz	7	su:"Mobilian trade language"
