Ankave	aak
Afade	aal
Penobscot	aaq
Wawenock	aaq
Afar	aar
Abau	aau
Abo (Cameroon)	abb
Abidji	abi
Abkhaz	abk
Abung dialect	abl
Abua	abn
Abazin	abq
Tapanta	abq
Abron	abr
Ambonese Malay	abs
Abulas	abt
Abure	abu
Abaknon	abx
Aneme Wake	aby
Abui	abz
Achagua	aca
Cubulco Achi	acc
Achinese	ace
Acoli	ach
Achang	acn
Achi	acr
Achuar	acu
Achomawi	acv
Adangme	ada
Abor	adi
Bokar	adi
Milang	adi
Padam	adi
Bori	adi
Pailibo	adi
Adyukru	adj
Gallong	adl
Wailpi	adt
Amdo	adx
Adygei	ady
Chemgui	ady
Atsera	adz
Eastern Arrernte	aer
Alsea	aes
Amele	aey
Afrihili (Artificial)	afh
Afrikaans	afr
Awutu	afu
Senya	afu
Agarabe	agd
Anggor	agg
Argobba	agj
Agutaynon	agn
Paranan	agp
Aghem	agq
Aguaruna	agr
Agta	agt
Aguacatec	agu
Agul	agx
Ahanta	aha
Kemant	ahg
Quara	ahg
Kaw	ahk
Igo	ahl
Ahom	aho
Ahirani	ahr
Ahtena	aht
Arosi	aia
Aja (Sudan)	aja
Aja (Benin and Togo)	ajg
Ajie	aji
Akan	aka
Angkola	akb
Mpur language (Indonesia)	akc
Acawai	ake
Anakalang	akg
Angal Heneng	akh
Akkadian	akk
Aklanon	akl
Araki	akr
Akhwakh	akv
Alabama	akz
Mobilian trade language	akz
Alacaluf	alc
Aladian	ald
Aleut	ale
Alawa	alh
Alangan	alj
Larike-Wakasihu	alo
Alune	alp
Algonquin	alq
Alutor	alr
Areare	alu
Alyawarra	aly
Alur	alz
Amahuaca	amc
Amuesha	ame
Amarag	amg
Amharic	amh
Amis	ami
Ambai	amk
War	aml
Ama (Papua New Guinea)	amm
Amanab	amn
Alamblak	amp
Mashco	amr
Anmatyerre	amx
Ami language (Australia)	amy
Angas	anc
Anesu	ane
Goemai language	ank
Anal	anm
Obolo	ann
Andoque	ano
Angika	anp
Anuak	anu
Abe	any
Anyi	any
Brissa	any
Sanwi	any
Anem	anz
Arecuna	aoc
Camaracoto	aoc
Pemón	aoc
Taurepan	aoc
"Magi (Southern Highlands Province, Papua New Guinea)"	aoe
Andilyaugwa	aoi
Southern Arapesh	aoj
Aomie	aom
Saa	apb
Ulawa	apb
Mountain Arapesh	ape
Rai	aph
Athpare	aph
Jicarilla	apj
Chiricahua	apm
Mescalero	apm
Apma	app
Arop-Lokep	apr
Apatani	apt
Ipurina	apu
White Mountain Apache	apw
Western Apache	apw
Apalai	apy
Ampale	apz
Wojokeso	apz
Archi	aqc
Atakapa	aqp
Arabic	ara
Aramaic	arc
Arabana	ard
Aranda	are
Aragonese	arg
Cheso	arg
Ica	arh
Arikara	ari
Arabela	arl
Ranquel dialect	arn
Mapuche	arn
Moluche	arn
Pehuenche	arn
Araona	aro
Arapaho	arp
Karo (Brazil)	arr
Arbore	arv
Arawak	arw
Assiniboine	asb
American Sign Language	ase
Australian Sign Language	asf
Asilulu	asl
Assamese	asm
Asaro	aso
Asuri	asr
Bable	ast
Wasi	ata
Tsaiwa	atb
Ata Manobo	atd
Attie	ati
Atikamekw	atj
Atsina	ats
Atta	att
Northern Altai	atv
Teleut	atv
Atsugewi	atw
Aneityum	aty
Huao	auc
Sabela	auc
Anuta	aud
Aulua	aul
Avaric	ava
Avestan	ave
Avikam	avi
Au	avt
Awadhi	awa
"Awa (Eastern Highlands Province, Papua New Guinea)"	awb
Aekyom	awi
Awabakal	awk
Agau	awn
Abipon	axb
Aka (Central African Republic)	axk
"Armenian, Middle"	axm
Xaragure	axx
Ayizo-gbe	ayb
Aymara	aym
Moro (South America)	ayo
Mai Brat	ayz
Afshar	azb
Azerbaijani	aze
Bambatana	baa
Baré	bae
Bashkir	bak
Kuvakan	bak
Baluchi	bal
Bambara	bam
Balinese	ban
Barasana del Norte	bao
Bantawa	bap
Basa	bas
Mbili	baw
Bamun	bax
Tunen	baz
Bariba	bba
Barai	bbb
Toba-Batak	bbc
Bandjoun	bbj
Bats	bbl
Bobo Fing	bbo
Gólo	bbp
Bai (China)	bca
Bamu River	bcf
Bariai	bch
Baule	bci
Bardi	bcj
Bunaba	bck
Banoni	bcm
Kaluli	bco
Babine	bcr
Kohumono	bcs
Biliau	bcu
Bacama	bcy
Basap	bdb
Bunama	bdd
Bade	bde
Baka	bdh
Budukh	bdk
Bajau	bdl
Buduma	bdm
Bende	bdp
Bahnar	bdq
Burunge	bds
Bakundu	bdu
Bankudu-Balue	bdu
Baham	bdw
Yugambeh?Bundjalung dialects	bdy
Bandjalang	bdy
Gidabal	bdy
Yugumbeh	bdy
Tsattine	bea
Bebele	beb
Byangsi	bee
Benabena	bef
Biali	beh
Bekati'	bei
Beja	bej
Belarusian	bel
Bemba	bem
Bengali	ben
Bembe (Congo (Brazzaville))	beq
Blagar	beu
Betawi	bew
Jur Modo	bex
Kuku	bfa
Bari	bfa
Bafut	bfd
British Sign Language	bfi
Bunak	bfn
Badaga	bfq
Balti	bft
Bonda	bfw
Bagheli	bfy
Marari	bfy
Bangaru	bgc
Deswali	bgc
Rathvi dialect	bgd
Bugun	bgg
Bangolan	bgj
Bagri	bgq
Tagabawa Manobo	bgs
Bugotu	bgt
