Afade language	aal	0	su:"Afade language"
Abo (Cameroon) language	abb	0	su:"Abo (Cameroon) language"
Tapanta language	abq	0	su:"Tapanta language"
Abron language	abr	0	su:"Abron language"
Ambonese Malay language	abs	0	su:"Ambonese Malay language"
Pailibo language	adi	0	su:"Pailibo language"
Wailpi language	adt	0	su:"Wailpi language"
Chemgui language	ady	0	su:"Chemgui language"
Senya language	afu	0	su:"Senya language"
Aguacatec language	agu	0	su:"Aguacatec language"
Ahirani language	ahr	0	su:"Ahirani language"
Aja (Sudan) language	aja	0	su:"Aja (Sudan) language"
Aja (Benin and Togo) language	ajg	0	su:"Aja (Benin and Togo) language"
Angkola language	akb	0	su:"Angkola language"
Anakalang language	akg	0	su:"Anakalang language"
Amarag language	amg	0	su:"Amarag language"
Ama (Papua New Guinea) language	amm	0	su:"Ama (Papua New Guinea) language"
Ami language (Australia)	amy	0	su:"Ami language (Australia)"
Sanwi language	any	0	su:"Sanwi language"
Arecuna language	aoc	0	su:"Arecuna language"
Camaracoto language	aoc	0	su:"Camaracoto language"
Taurepan language	aoc	0	su:"Taurepan language"
Magi (Southern Highlands Province, Papua New Guinea) language	aoe	0	su:"Magi (Southern Highlands Province, Papua New Guinea) language"
Andilyaugwa language	aoi	0	su:"Andilyaugwa language"
White Mountain Apache language	apw	0	su:"White Mountain Apache language"
Wojokeso language	apz	0	su:"Wojokeso language"
Cheso language	arg	0	su:"Cheso language"
Moluche language	arn	0	su:"Moluche language"
Karo (Brazil) language	arr	0	su:"Karo (Brazil) language"
Assiniboine language	asb	0	su:"Assiniboine language"
Australian Sign Language language	asf	0	su:"Australian Sign Language language"
Bable language	ast	0	su:"Bable language"
Teleut language	atv	0	su:"Teleut language"
Awa (Eastern Highlands Province, Papua New Guinea) language	awb	0	su:"Awa (Eastern Highlands Province, Papua New Guinea) language"
Aka (Central African Republic) language	axk	0	su:"Aka (Central African Republic) language"
Armenian, Middle language	axm	0	su:"Armenian, Middle language"
Moro (South America) language	ayo	0	su:"Moro (South America) language"
Afshar language	azb	0	su:"Afshar language"
Kuvakan language	bak	0	su:"Kuvakan language"
Bai (China) language	bca	0	su:"Bai (China) language"
Kohumono language	bcs	0	su:"Kohumono language"
Bakundu language	bdu	0	su:"Bakundu language"
Bankudu-Balue language	bdu	0	su:"Bankudu-Balue language"
Yugambeh?Bundjalung dialects	bdy	0	su:"Yugambeh?Bundjalung dialects"
Yugumbeh language	bdy	0	su:"Yugumbeh language"
Bembe (Congo (Brazzaville)) language	beq	0	su:"Bembe (Congo (Brazzaville)) language"
Betawi language	bew	0	su:"Betawi language"
Kuku language	bfa	0	su:"Kuku language"
Badaga language	bfq	0	su:"Badaga language"
Marari language	bfy	0	su:"Marari language"
Bangaru language	bgc	0	su:"Bangaru language"
Deswali language	bgc	0	su:"Deswali language"
Rathvi dialect	bgd	0	su:"Rathvi dialect"
Bagri language	bgq	0	su:"Bagri language"
Bhalesi language	bhd	0	su:"Bhalesi language"
Bhadrawahi language	bhd	0	su:"Bhadrawahi language"
Bahing language	bhj	0	su:"Bahing language"
Kolo language	bhp	0	su:"Kolo language"
Bara (Madagascar) language	bhr	0	su:"Bara (Madagascar) language"
Bada (Indonesia) language	bhz	0	su:"Bada (Indonesia) language"
Birhor language	biy	0	su:"Birhor language"
Kanauji language	bjj	0	su:"Kanauji language"
Antaisaka language	bjq	0	su:"Antaisaka language"
Southern Bontoc language	bkb	0	su:"Southern Bontoc language"
Eastern Bontoc language	bkb	0	su:"Eastern Bontoc language"
Baka (Cameroon and Gabon) language	bkc	0	su:"Baka (Cameroon and Gabon) language"
Brokpa language	bkk	0	su:"Brokpa language"
Kom (Cameroon) language	bkm	0	su:"Kom (Cameroon) language"
Uki language	bld	0	su:"Uki language"
