Africa	Nigeria	aaa	Niger-Congo	9000
Africa	Nigeria	aab	Niger-Congo	7000
Pacific	Papua New Guinea	aac	Trans-New Guinea	50
Pacific	Papua New Guinea	aad	Sepik	830
Europe	Italy	aae	Indo-European	80000
Asia	India	aaf	Dravidian	200
Pacific	Papua New Guinea	aag	Torricelli	290
Pacific	Papua New Guinea	aai	Austronesian	3470
Pacific	Papua New Guinea	aak	Trans-New Guinea	1600
Africa	Nigeria	aal	Afro-Asiatic	36000
Africa	Tanzania	aam	Nilo-Saharan	3000
Americas	Brazil	aan	Tupi	7
Africa	Algeria	aao	Afro-Asiatic	130550
Americas	Brazil	aap	North Brazil	200
Africa	Ethiopia	aar	Afro-Asiatic	1078200
Africa	Tanzania	aas	Afro-Asiatic	350
Europe	Greece	aat	Indo-European	50000
Pacific	Papua New Guinea	aau	Sepik	7270
Pacific	Papua New Guinea	aaw	Austronesian	2200
Asia	Indonesia	aax	Trans-New Guinea	1000
Asia	India	aay	Unclassified	
Asia	Indonesia	aaz	Austronesian	50000
Africa	Cote dIvoire	aba	Niger-Congo	170000
Africa	Cameroon	abb	Niger-Congo	12000
Asia	Philippines	abc	Austronesian	1660
Asia	Philippines	abd	Austronesian	150
Americas	Canada	abe	Algic	5
Asia	Malaysia	abf	Austronesian	500
Pacific	Papua New Guinea	abg	Trans-New Guinea	5
Asia	Tajikistan	abh	Afro-Asiatic	6000
Africa	Cote dIvoire	abi	Niger-Congo	50500
Asia	Georgia	abk	North Caucasian	117350
Asia	Indonesia	abl	Austronesian	180000
Africa	Nigeria	abm	Niger-Congo	12500
Africa	Nigeria	abn	Niger-Congo	25000
Africa	Nigeria	abo	Niger-Congo	1000
Asia	Philippines	abp	Austronesian	3000
Europe	Russian Federation	abq	North Caucasian	48280
Africa	Ghana	abr	Niger-Congo	1182000
Asia	Indonesia	abs	Austronesian	245020
Pacific	Papua New Guinea	abt	Sepik	44000
Africa	Cote dIvoire	abu	Niger-Congo	55100
Asia	Bahrain	abv	Afro-Asiatic	310000
Pacific	Papua New Guinea	abw	Trans-New Guinea	1160
