Id	Part2B	Part2T	Part1	Scope	Type	Ref_Name	Comment
afa				C	G	Afro-Asiatic languages	
alg				C	G	Algonquian languages	
apa				C	G	Apache languages	
art				C	G	Artificial languages	
ath				C	G	Athapascan languages	
aus				C	G	Australian languages	
bad				C	G	Banda languages	
bai				C	G	Bamileke languages	
bat				C	G	Baltic languages	
ber				C	G	Berber languages	
bih			bh	C	G	Bihari	
bnt				C	G	Bantu languages	
btk				C	G	Batak languages	
cai				C	G	Central American Indian languages	
cau				C	G	Caucasian languages	
cel				C	G	Celtic languages	
cmc				C	G	Chamic languages	
cpe				C	G	English based Creoles and pidgins	
cpf				C	G	French-Based Creoles and pidgins	
cpp				C	G	Portuguese-Based Creoles and pidgins	
crp				C	G	Creoles and pidgins	
cus				C	G	Cushitic languages	
day				C	G	Land Dayak languages	
dra				C	G	Dravidian languages	
fiu				C	G	Finno-Ugrian languages	
gem				C	G	Germanic languages	
him				C	G	Himachali	
ijo				C	G	Ijo languages	
inc				C	G	Indic languages	
ine				C	G	Indo-European languages	
ira				C	G	Iranian languages	
iro				C	G	Iroquoian languages	
kar				C	G	Karen languages	
khi				C	G	Khoisan languages	
kro				C	G	Kru languages	
map				C	G	Austronesian languages	
mkh				C	G	Mon-Khmer languages	
mno				C	G	Manobo languages	
mun				C	G	Munda languages	
myn				C	G	Mayan languages	
nah				C	G	Nahuatl languages	
nai				C	G	North American Indian	
nic				C	G	Niger-Kordofanian languages	
nub				C	G	Nubian languages	
oto				C	G	Otomian languages	
paa				C	G	Papuan languages	
phi				C	G	Philippine languages	
pra				C	G	Prakrit languages	
roa				C	G	Romance languages	
sai				C	G	South American Indian languages	
sal				C	G	Salishan languages	
sem				C	G	Semitic languages	
sgn				C	G	Sign Languages	
sio				C	G	Siouan languages	
sit				C	G	Sino-Tibetan languages	
sla				C	G	Slavic languages	
smi				C	G	Sami languages languages	
son				C	G	Songhai languages	
ssa				C	G	Nilo-Saharan languages	
tai				C	G	Tai languages	
tup				C	G	Tupi languages	
tut				C	G	Altaic languages	
wak				C	G	Wakashan languages	
wen				C	G	Sorbian languages	
ypk				C	G	Yupik languages	
znd				C	G	Zande languages	
aav				C	G	Austro-Asiatic languages	
alv				C	G	Atlantic-Congo languages	
aqa				C	G	Alacalufan languages	
aql				C	G	Algic languages	
auf				C	G	Arauan languages	
awd				C	G	Arawakan languages	
azc				C	G	Uto-Aztecan languages	
cba				C	G	Chibchan languages	
ccn				C	G	North Caucasian languages	
ccs				C	G	South Caucasian languages	
cdc				C	G	Chadic languages	
cdd				C	G	Caddoan languages	
csu				C	G	Central Sudanic languages	
egx				C	G	Egyptian	
esx				C	G	Eskimo-Aleut languages	
euq				C	G	Basque (family)	
fox				C	G	Formosan languages	
gme				C	G	East Germanic languages	
gmq				C	G	North Germanic languages	
gmw				C	G	West Germanic languages	
grk				C	G	Greek	
hmx				C	G	Hmong-Mien languages	
hok				C	G	Hokan languages	
hyx				C	G	Armenian (family)	
iir				C	G	Indo-Iranian languages	
itc				C	G	Italic languages	
jpx				C	G	Japanese (family)	
kdo				C	G	Kordofanian languages	
ngf				C	G	Trans New Guinea	
omq				C	G	Oto-Manguean languages	
omv				C	G	Omotic languages	
plf				C	G	Central Malayo-Polynesian languages	
poz				C	G	Malayo-Polynesian languages	
pqe				C	G	Eastern Malayo-Polynesian languages	
pqw				C	G	Western Malayo-Polynesian languages	
qwe				C	G	Quechuan (family)	
sdv				C	G	Eastern Sudanic languages	
sqj				C	G	Albanian languages	
syd				C	G	Samoyedic languages	
tbq				C	G	Tibeto-Burman languages	
trk				C	G	Turkic languages	
tuw				C	G	Tungus languages	
urj				C	G	Uralic languages	
xgn				C	G	Mongolian	
xnd				C	G	Na-Dene languages	
zhx				C	G	Chinese (family)	
zle				C	G	East Slavic languages	
zls				C	G	South Slavic languages	
zlw				C	G	West Slavic languages	
