Language	Level	Type	Code	Name
aaa	1	G	nic	Niger-Kordofanian
aaa	2	G	alv	Atlantic-Congo
aaa	3	I	aaa	Ghotuo
aab	1	G	nic	Niger-Kordofanian
aab	2	G	alv	Atlantic-Congo
aab	3	I	aab	Alumu-Tesu
aac	1	G	paa	Papuan
aac	2	G	ngf	Trans-New Guinea
aac	3	I	aac	Ari
aad	1	G	paa	Papuan
aad	2	I	aad	Amal
aae	1	G	ine	Indo-European
aae	2	G	sqj	Albanian
aae	3	M	sqi	Albanian
aae	4	I	aae	Arbëreshë Albanian
aaf	1	G	dra	Dravidian
aaf	2	I	aaf	Aranadan
aag	1	G	paa	Papuan
aag	2	I	aag	Ambrak
aah	1	G	paa	Papuan
aah	2	I	aah	Abu' Arapesh
aai	1	G	map	Austronesian
aai	2	G	poz	Malayo-Polynesian
aai	3	G	pqe	Eastern Malayo-Polynesian
aai	4	I	aai	Arifama-Miniafia
aak	1	G	paa	Papuan
aak	2	G	ngf	Trans-New Guinea
aak	3	I	aak	Ankave
aal	1	G	afa	Afro-Asiatic
aal	2	I	aal	Afade
aam	1	G	ssa	Nilo-Saharan
aam	2	I	aam	Aramanik
aan	1	G	sai	South American Indian
aan	2	I	aan	Anambé
aao	1	G	afa	Afro-Asiatic
aao	2	G	sem	Semitic
aao	3	M	ara	Arabic
aao	4	I	aao	Algerian Saharan Arabic
aap	1	G	sai	South American Indian
aap	2	I	aap	Pará Arára
aaq	1	G	nai	North American Indian
aaq	2	G	aql	Algic
aaq	3	G	alg	Algonquian
aaq	4	I	aaq	Eastern Abnaki
aar	1	G	afa	Afro-Asiatic
aar	2	G	cus	Cushitic
aar	3	I	aar	Afar
aas	1	G	afa	Afro-Asiatic
aas	2	G	cus	Cushitic
aas	3	I	aas	Aasáx
aat	1	G	ine	Indo-European
aat	2	G	sqj	Albanian
aat	3	M	sqi	Albanian
aat	4	I	aat	Arvanitika Albanian
aau	1	G	paa	Papuan
aau	2	I	aau	Abau
aaw	1	G	map	Austronesian
aaw	2	G	poz	Malayo-Polynesian
aaw	3	G	pqe	Eastern Malayo-Polynesian
aaw	4	I	aaw	Solong
aax	1	G	paa	Papuan
aax	2	G	ngf	Trans-New Guinea
aax	3	I	aax	Mandobo Atas
aaz	1	G	map	Austronesian
aaz	2	G	poz	Malayo-Polynesian
aaz	3	G	plf	Central Malayo-Polynesian
aaz	4	I	aaz	Amarasi
aba	1	G	nic	Niger-Kordofanian
aba	2	G	alv	Atlantic-Congo
aba	3	I	aba	Abé
abb	1	G	nic	Niger-Kordofanian
abb	2	G	alv	Atlantic-Congo
abb	3	G	bnt	Bantu
abb	4	I	abb	Bankon
abc	1	G	map	Austronesian
abc	2	G	poz	Malayo-Polynesian
abc	3	G	pqw	Western Malayo-Polynesian
abc	4	G	phi	Philippine
abc	5	I	abc	Ambala Ayta
abd	1	G	map	Austronesian
abd	2	G	poz	Malayo-Polynesian
abd	3	G	pqw	Western Malayo-Polynesian
abd	4	G	phi	Philippine
abd	5	I	abd	Manide
abe	1	G	nai	North American Indian
abe	2	G	aql	Algic
abe	3	G	alg	Algonquian
abe	4	I	abe	Western Abnaki
abf	1	G	map	Austronesian
abf	2	I	abf	Abai Sungai
abg	1	G	paa	Papuan
abg	2	G	ngf	Trans-New Guinea
abg	3	I	abg	Abaga
abh	1	G	afa	Afro-Asiatic
abh	2	G	sem	Semitic
abh	3	M	ara	Arabic
abh	4	I	abh	Tajiki Arabic
abi	1	G	nic	Niger-Kordofanian
abi	2	G	alv	Atlantic-Congo
abi	3	I	abi	Abidji
abk	1	G	cau	Caucasian
abk	2	G	ccn	North Caucasian
abk	3	I	abk	Abkhazian
abl	1	G	map	Austronesian
abl	2	I	abl	Lampung Nyo
abm	1	G	nic	Niger-Kordofanian
abm	2	G	alv	Atlantic-Congo
abm	3	G	bnt	Bantu
abm	4	I	abm	Abanyom
abn	1	G	nic	Niger-Kordofanian
abn	2	G	alv	Atlantic-Congo
abn	3	I	abn	Abua
abo	1	G	nic	Niger-Kordofanian
abo	2	G	alv	Atlantic-Congo
abo	3	G	bnt	Bantu
abo	4	I	abo	Abon
abp	1	G	map	Austronesian
abp	2	G	poz	Malayo-Polynesian
abp	3	G	pqw	Western Malayo-Polynesian
abp	4	G	phi	Philippine
abp	5	I	abp	Abellen Ayta
abq	1	G	cau	Caucasian
abq	2	I	abq	Abaza
abr	1	G	nic	Niger-Kordofanian
abr	2	G	alv	Atlantic-Congo
abr	3	I	abr	Abron
abs	1	G	crp	Creoles and pidgins
abs	2	I	abs	Ambonese Malay
abt	1	G	paa	Papuan
abt	2	I	abt	Ambulas
abu	1	G	nic	Niger-Kordofanian
abu	2	G	alv	Atlantic-Congo
abu	3	I	abu	Abure
abv	1	G	afa	Afro-Asiatic
abv	2	G	sem	Semitic
abv	3	M	ara	Arabic
abv	4	I	abv	Baharna Arabic
abw	1	G	paa	Papuan
abw	2	G	ngf	Trans-New Guinea
abw	3	I	abw	Pal
abx	1	G	map	Austronesian
abx	2	G	poz	Malayo-Polynesian
abx	3	G	pqw	Western Malayo-Polynesian
abx	4	G	phi	Philippine
abx	5	I	abx	Inabaknon
aby	1	G	paa	Papuan
aby	2	G	ngf	Trans-New Guinea
aby	3	I	aby	Aneme Wake
abz	1	G	paa	Papuan
abz	2	G	ngf	Trans-New Guinea
abz	3	I	abz	Abui
aca	1	G	sai	South American Indian
aca	2	I	aca	Achagua
acb	1	G	nic	Niger-Kordofanian
acb	2	G	alv	Atlantic-Congo
acb	3	G	bnt	Bantu
acb	4	I	acb	Áncá
acc	1	G	cai	Central American Indian
acc	2	G	myn	Mayan
acc	3	I	acc	Cubulco Achí
acd	1	G	nic	Niger-Kordofanian
acd	2	G	alv	Atlantic-Congo
acd	3	I	acd	Gikyode
ace	1	G	map	Austronesian
ace	2	G	poz	Malayo-Polynesian
ace	3	G	pqw	Western Malayo-Polynesian
ace	4	G	cmc	Chamic
ace	5	I	ace	Achinese
acf	1	G	crp	Creoles and pidgins
acf	2	G	cpf	Creoles and pidgins, Frenchâ€‘based
acf	3	I	acf	Saint Lucian Creole French
ach	1	G	ssa	Nilo-Saharan
ach	2	G	sdv	Eastern Sudanic
ach	3	I	ach	Acoli
acm	1	G	afa	Afro-Asiatic
acm	2	G	sem	Semitic
acm	3	M	ara	Arabic
acm	4	I	acm	Mesopotamian Arabic
acn	1	G	sit	Sino-Tibetan
acn	2	G	tbq	Tibeto-Burman
acn	3	I	acn	Achang
acp	1	G	nic	Niger-Kordofanian
acp	2	G	alv	Atlantic-Congo
acp	3	I	acp	Eastern Acipa
acq	1	G	afa	Afro-Asiatic
acq	2	G	sem	Semitic
acq	3	M	ara	Arabic
acq	4	I	acq	Ta'izzi-Adeni Arabic
acr	1	G	cai	Central American Indian
acr	2	G	myn	Mayan
acr	3	I	acr	Achi
acs	1	G	sai	South American Indian
acs	2	I	acs	Acroá
act	1	G	ine	Indo-European
act	2	G	gem	Germanic
act	3	I	act	Achterhoeks
acu	1	G	sai	South American Indian
acu	2	I	acu	Achuar-Shiwiar
acv	1	G	nai	North American Indian
acv	2	I	acv	Achumawi
acw	1	G	afa	Afro-Asiatic
acw	2	G	sem	Semitic
acw	3	M	ara	Arabic
acw	4	I	acw	Hijazi Arabic
acx	1	G	afa	Afro-Asiatic
acx	2	G	sem	Semitic
acx	3	M	ara	Arabic
acx	4	I	acx	Omani Arabic
acy	1	G	afa	Afro-Asiatic
acy	2	G	sem	Semitic
acy	3	M	ara	Arabic
acy	4	I	acy	Cypriot Arabic
acz	1	G	nic	Niger-Kordofanian
acz	2	I	acz	Acheron
ada	1	G	nic	Niger-Kordofanian
ada	2	G	alv	Atlantic-Congo
ada	3	I	ada	Adangme
adb	1	G	paa	Papuan
adb	2	G	ngf	Trans-New Guinea
adb	3	I	adb	Adabe
add	1	G	nic	Niger-Kordofanian
add	2	G	alv	Atlantic-Congo
add	3	G	bnt	Bantu
add	4	I	add	Dzodinka
ade	1	G	nic	Niger-Kordofanian
ade	2	G	alv	Atlantic-Congo
ade	3	I	ade	Adele
adf	1	G	afa	Afro-Asiatic
adf	2	G	sem	Semitic
adf	3	M	ara	Arabic
adf	4	I	adf	Dhofari Arabic
adg	1	G	aus	Australian
adg	2	I	adg	Andegerebinha
adh	1	G	ssa	Nilo-Saharan
adh	2	I	adh	Adhola
adi	1	G	sit	Sino-Tibetan
adi	2	G	tbq	Tibeto-Burman
adi	3	I	adi	Adi
adj	1	G	nic	Niger-Kordofanian
adj	2	G	alv	Atlantic-Congo
adj	3	I	adj	Adioukrou
adl	1	G	sit	Sino-Tibetan
adl	2	G	tbq	Tibeto-Burman
